Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
Roadmap-To-Learn-Generative-AI-In-2024,krishnaik06,,https://github.com/krishnaik06/Roadmap-To-Learn-Generative-AI-In-2024,,2023-12-11T11:43:22Z,2024-10-15T13:43:46Z,3173,1371,8,GNU General Public License v3.0
awesome-generative-ai,filipecalegario,"A curated list of Generative AI tools, works, models, and references",https://github.com/filipecalegario/awesome-generative-ai,,2021-07-19T15:11:51Z,2024-10-15T13:45:28Z,2464,388,7,Creative Commons Zero v1.0 Universal
GenerativeAIExamples,NVIDIA,Generative AI reference workflows optimized for accelerated infrastructure and microservice architecture.,https://github.com/NVIDIA/GenerativeAIExamples,Python,2023-10-19T13:46:31Z,2024-10-15T15:27:33Z,2256,460,28,Apache License 2.0
tts-generation-webui,rsxdalv,"TTS Generation Web UI (Bark, MusicGen + AudioGen, Tortoise, RVC, Vocos, Demucs, SeamlessM4T, MAGNet, StyleTTS2, MMS)",https://github.com/rsxdalv/tts-generation-webui,TypeScript,2023-04-27T18:32:26Z,2024-10-15T09:53:42Z,1719,183,50,MIT License
generative-ai-docs,google,Documentation for Google's Gen AI site - including the Gemini API and Gemma,https://github.com/google/generative-ai-docs,Jupyter Notebook,2023-04-06T05:20:25Z,2024-10-15T15:57:48Z,1638,577,59,Apache License 2.0
generative-ai-python,google-gemini,The official Python library for the Google Gemini API,https://github.com/google-gemini/generative-ai-python,Python,2023-05-03T21:27:14Z,2024-10-15T15:43:07Z,1493,293,94,Apache License 2.0
ai-component-generator,yuvalsuede,,https://github.com/yuvalsuede/ai-component-generator,TypeScript,2023-03-04T01:12:52Z,2024-10-13T23:33:34Z,1348,126,10,No License
project_ai_mern_image_generation,adrianhajdin,Build and Deploy a Full Stack MERN AI Image Generation App MidJourney & DALL E Clone,https://github.com/adrianhajdin/project_ai_mern_image_generation,JavaScript,2023-01-20T10:45:47Z,2024-10-12T17:53:24Z,1099,308,60,No License
AI-Prompt-Genius,AI-Prompt-Genius,Curate a custom library of AI Prompts,https://github.com/AI-Prompt-Genius/AI-Prompt-Genius,JavaScript,2022-12-09T04:54:10Z,2024-10-15T09:17:59Z,1091,161,16,No License
AICoverGen,SociallyIneptWeeb,A WebUI to create song covers with any RVC v2 trained AI voice from YouTube videos or audio files.,https://github.com/SociallyIneptWeeb/AICoverGen,Python,2023-07-25T07:31:56Z,2024-10-15T13:26:00Z,1055,250,74,MIT License
tuneflow-py,tuneflow,🧠+🎧 Build your music algorithms and AI models with the next-gen DAW 🔥,https://github.com/tuneflow/tuneflow-py,Python,2023-01-07T14:32:34Z,2024-10-14T06:47:49Z,988,117,3,MIT License
comflowy,6174,"Unleash endless possibilities with ComfyUI and Stable Diffusion, committed to crafting refined AI-Gen tools and cultivating a vibrant community for both developers and users. ",https://github.com/6174/comflowy,MDX,2023-11-20T00:39:22Z,2024-10-15T13:47:27Z,942,49,50,Other
GenAI_LLM_timeline,hollobit,"ChatGPT, GenerativeAI and LLMs Timeline",https://github.com/hollobit/GenAI_LLM_timeline,,2023-03-25T07:00:16Z,2024-09-26T00:50:09Z,941,60,4,No License
generative-ai-swift,google-gemini,The official Swift library for the Google Gemini API,https://github.com/google-gemini/generative-ai-swift,Swift,2023-04-25T18:19:06Z,2024-10-15T07:49:22Z,917,146,17,Apache License 2.0
oss-fuzz-gen,google,LLM powered fuzzing via OSS-Fuzz.,https://github.com/google/oss-fuzz-gen,Python,2024-01-25T00:51:49Z,2024-10-15T05:56:19Z,858,100,85,Apache License 2.0
Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,bansalkanav,,https://github.com/bansalkanav/Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,Jupyter Notebook,2020-04-03T19:28:56Z,2024-10-12T18:17:18Z,848,281,12,GNU General Public License v3.0
AI-Youtube-Shorts-Generator,SamurAIGPT,"A python tool that uses GPT-4, FFmpeg, and OpenCV to automatically analyze videos, extract the most interesting sections, and crop them for an improved viewing experience.",https://github.com/SamurAIGPT/AI-Youtube-Shorts-Generator,Python,2024-06-28T07:39:14Z,2024-10-15T16:25:53Z,791,112,3,MIT License
Generative-AI,fnzhan,[TPAMI 2023] Multimodal Image Synthesis and Editing: The Generative AI Era,https://github.com/fnzhan/Generative-AI,TeX,2021-12-04T07:28:21Z,2024-10-15T02:16:20Z,785,60,1,No License
generate-subtitles,mayeaux,"Generate transcripts for audio and video content with a user friendly UI, powered by Open AI's Whisper with automatic translations and download videos automatically with yt-dlp integration",https://github.com/mayeaux/generate-subtitles,JavaScript,2022-11-06T16:18:05Z,2024-10-14T01:48:09Z,746,101,24,No License
chaos_genius,chaos-genius,ML powered analytics engine for outlier detection and root cause analysis.,https://github.com/chaos-genius/chaos_genius,Python,2021-05-27T08:13:03Z,2024-10-14T02:24:38Z,730,82,75,MIT License
SandDance,microsoft,"Visually explore, understand, and present your data.",https://github.com/microsoft/SandDance,TypeScript,2018-11-05T22:45:31Z,2024-10-15T14:37:32Z,6390,523,98,MIT License
Stock_Analysis_For_Quant,LastAncientOne,"Various Types of Stock Analysis in Excel, Matlab, Power BI, Python, R, and Tableau",https://github.com/LastAncientOne/Stock_Analysis_For_Quant,Jupyter Notebook,2019-03-02T17:08:24Z,2024-10-15T14:47:59Z,1666,457,0,MIT License
PowerBI-Developer-Samples,microsoft,A collection of Power BI samples for developer use.,https://github.com/microsoft/PowerBI-Developer-Samples,JavaScript,2017-02-26T11:47:13Z,2024-10-15T14:04:22Z,1552,1436,75,MIT License
powerbi-desktop-samples,microsoft,Power BI Desktop sample files for the monthly release. Here you can find the PBIX files used in the monthly release videos.,https://github.com/microsoft/powerbi-desktop-samples,,2018-03-28T12:26:47Z,2024-10-14T16:21:40Z,1430,872,30,MIT License
PowerBI-JavaScript,microsoft,JavaScript library for embedding Power BI into your apps. Check out the docs website and wiki for more information.,https://github.com/microsoft/PowerBI-JavaScript,TypeScript,2015-09-28T21:59:50Z,2024-10-14T08:03:56Z,1056,464,74,Other
TabularEditor,TabularEditor,"This is the code repository and issue tracker for Tabular Editor 2.X (free, open-source version). This repository is being maintained by Daniel Otykier.",https://github.com/TabularEditor/TabularEditor,C#,2016-11-14T18:59:21Z,2024-10-12T00:53:32Z,872,214,198,MIT License
Azure-DevOps,vinijmoura,"Data extraction and Power BI report that generate management informations about your Azure DevOps organization. Using Azure DevOps CLI and Azure DevOps REST API, PowerShell scripts extract data from Azure DevOps, store this information in an Azure SQL Database and shows them in a Power BI report.",https://github.com/vinijmoura/Azure-DevOps,PowerShell,2020-05-04T01:24:44Z,2024-10-07T11:35:26Z,822,243,1,MIT License
CCOInsights,Azure,Welcome to the Continuous Cloud Optimization Power BI Dashboard GitHub Project. In this repository you will find all the guidance and files needed to deploy the Dashboard in your environment to take benefit of a single pane of glass to get insights about your Azure resources and services. ,https://github.com/Azure/CCOInsights,Mathematica,2018-10-16T14:53:37Z,2024-10-02T13:59:16Z,715,209,7,MIT License
Data-Analyst-Roadmap,mrankitgupta,I am sharing my Journey of 66DaysofData into Data Analytics by participating in Ken Jee's #66daysofdata challenge,https://github.com/mrankitgupta/Data-Analyst-Roadmap,,2022-02-05T11:17:52Z,2024-10-15T12:53:54Z,694,106,1,MIT License
DataConnectors,microsoft,Data Connector SDK and samples for Power Query and Power BI,https://github.com/microsoft/DataConnectors,PowerShell,2017-04-03T14:50:42Z,2024-10-15T17:18:05Z,685,360,74,MIT License
PowerBI-CSharp,microsoft,Welcome to the .NET developer community for Power BI. Here you will find resources for the .NET SDKs for Power BI Embedded V2.0.0,https://github.com/microsoft/PowerBI-CSharp,C#,2015-09-28T21:52:49Z,2024-10-15T11:26:23Z,680,750,40,Other
powerbi-jupyter,microsoft,A Custom Jupyter Widget Library for Power BI,https://github.com/microsoft/powerbi-jupyter,Python,2021-03-15T09:19:21Z,2024-10-15T02:18:02Z,466,149,5,MIT License
powerbi-docs,MicrosoftDocs,,https://github.com/MicrosoftDocs/powerbi-docs,PowerShell,2018-01-25T23:56:36Z,2024-10-14T22:34:46Z,456,870,43,Creative Commons Attribution 4.0 International
PowerBI-ThemeTemplates,deldersveld,Snippets for assembling Power BI Themes,https://github.com/deldersveld/PowerBI-ThemeTemplates,,2018-01-20T14:00:01Z,2024-10-12T16:10:20Z,452,206,57,The Unlicense
sqlwatch,marcingminski,SQL Server Performance Monitor,https://github.com/marcingminski/sqlwatch,TSQL,2018-08-11T22:34:46Z,2024-10-09T19:32:02Z,432,170,91,Other
PowerBI-Icons,microsoft,Icons (PNG and SVG) for Power BI,https://github.com/microsoft/PowerBI-Icons,,2021-05-05T22:11:50Z,2024-10-14T22:09:52Z,425,203,3,Creative Commons Attribution 4.0 International
data-analyst-roadmap,mtahiraslan,"Based on my own experience, I think this roadmap will answer all the questions of how to become a data analyst from zero, which technologies and programming languages are better to know, what kind of soft skills do we need, how do I start my professional career in this field.",https://github.com/mtahiraslan/data-analyst-roadmap,,2023-02-25T04:34:05Z,2024-10-15T14:24:16Z,395,54,1,MIT License
pbiworkshops,microsoft,Training workshops for Power BI.,https://github.com/microsoft/pbiworkshops,Jupyter Notebook,2019-07-26T16:46:53Z,2024-10-13T15:12:14Z,347,102,1,Creative Commons Attribution 4.0 International
powerbi-powershell,microsoft,PowerShell community for Microsoft PowerBI. Here you will find resources and source for PowerShell modules targeting PowerBI.,https://github.com/microsoft/powerbi-powershell,C#,2018-02-26T19:16:45Z,2024-10-13T15:41:27Z,344,119,176,MIT License
PowerBI-visuals-tools,microsoft,Contains tools for building/packaging Power BI visuals,https://github.com/microsoft/PowerBI-visuals-tools,TypeScript,2016-04-13T19:33:45Z,2024-10-13T15:47:32Z,333,150,6,MIT License
powerbi-client-react,microsoft,Power BI for React which provides components and services to enabling developers to easily embed Power BI reports into their applications.,https://github.com/microsoft/powerbi-client-react,TypeScript,2020-06-08T07:07:15Z,2024-10-15T15:07:59Z,307,98,15,MIT License
powerbi-macguyver-toolbox,data-goblin,"Power BI report .pbip templates and patterns to create special visuals, address specific problems, and have adventures..",https://github.com/data-goblin/powerbi-macguyver-toolbox,C#,2023-07-25T20:41:53Z,2024-10-15T08:47:29Z,301,80,0,MIT License
office365dev,chenxizhang,《Office 365 开发入门指南》，本书已经于2018年9月份由北京大学出版社上市发行，可以通过 http://product.dangdang.com/25347066.html 进行购买。配套视频教程于2019年2月在网易云课堂上架，你可以通过 https://aka.ms/office365devlesson 参加学习，教程相关的参考资料、范例代码、相关链接，请访问 https://github.com/chenxizhang/office365dev/tree/master/lessons,https://github.com/chenxizhang/office365dev,JavaScript,2017-02-26T06:08:21Z,2024-10-13T15:31:25Z,278,99,0,MIT License
powerbi-powershell,Azure-Samples,Samples for calling the Power BI REST API via PowerShell,https://github.com/Azure-Samples/powerbi-powershell,PowerShell,2017-06-20T20:36:06Z,2024-10-09T15:34:21Z,258,191,34,MIT License
powerbiadoption,pbiaf,Power BI Adoption Framework,https://github.com/pbiaf/powerbiadoption,,2019-11-07T14:31:37Z,2024-10-13T15:41:54Z,231,66,4,No License
PowerBIRESTAPI,migueesc123,A Microsoft Power BI Data Connector or Power Query Connector for the Power BI REST API,https://github.com/migueesc123/PowerBIRESTAPI,,2017-06-24T07:06:59Z,2024-10-13T15:47:40Z,231,74,7,MIT License
PowerBI-ThemeTemplates,MattRudy,JSON Templates for assembling Power BI Themes,https://github.com/MattRudy/PowerBI-ThemeTemplates,,2021-10-14T22:17:19Z,2024-10-11T06:44:49Z,228,83,74,The Unlicense
FlowViz,nbrown02,"A Power BI template that provides easy to understand, actionable flow metrics and predictive analytics for your agile teams using Azure DevOps, Azure DevOps Server and/or TFS.",https://github.com/nbrown02/FlowViz,,2018-06-04T06:45:38Z,2024-10-07T14:55:56Z,202,48,0,MIT License
WEFFLES,jepayneMSFT,"Build a fast, free, and effective Threat Hunting/Incident Response Console with Windows Event Forwarding and PowerBI",https://github.com/jepayneMSFT/WEFFLES,PowerShell,2016-07-27T22:12:14Z,2024-10-14T22:07:00Z,201,33,4,No License
MDE-PowerBI-Templates,microsoft,A respository for MDATP PowerBI Templates,https://github.com/microsoft/MDE-PowerBI-Templates,PowerShell,2019-04-02T22:01:05Z,2024-10-13T15:52:21Z,196,122,25,MIT License
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28T00:35:42Z,2024-10-15T16:53:12Z,61868,19442,254,Apache License 2.0
annotated_deep_learning_paper_implementations,labmlai,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25T02:29:34Z,2024-10-15T17:12:57Z,54939,5668,29,MIT License
DeepLearning-500-questions,scutan90,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,2018-06-27T06:36:45Z,2024-10-15T17:15:37Z,54529,15858,118,GNU General Public License v3.0
Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,2016-10-14T11:49:48Z,2024-10-15T16:14:28Z,38103,7308,88,No License
deeplearningbook-chinese,exacity,Deep Learning Book Chinese Translation,https://github.com/exacity/deeplearningbook-chinese,TeX,2016-12-07T11:46:51Z,2024-10-15T13:56:54Z,35702,9119,67,No License
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23T18:35:18Z,2024-10-15T15:56:39Z,35104,4064,1098,Apache License 2.0
TTS,coqui-ai,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",https://github.com/coqui-ai/TTS,Python,2020-05-20T15:45:28Z,2024-10-15T15:39:25Z,34661,4208,87,Mozilla Public License 2.0
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12T18:39:48Z,2024-10-15T13:22:06Z,34076,18698,1187,Other
pytorch-tutorial,yunjey,PyTorch Tutorial for Deep Learning Researchers,https://github.com/yunjey/pytorch-tutorial,Python,2017-03-10T07:41:47Z,2024-10-15T17:17:11Z,30013,8112,86,MIT License
handson-ml2,ageron,"A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.",https://github.com/ageron/handson-ml2,Jupyter Notebook,2019-01-08T03:49:07Z,2024-10-15T15:31:34Z,27879,12747,220,Apache License 2.0
netron,lutzroeder,"Visualizer for neural network, deep learning and machine learning models",https://github.com/lutzroeder/netron,JavaScript,2010-12-26T12:53:43Z,2024-10-15T15:01:43Z,27844,2763,22,MIT License
data-science-ipython-notebooks,donnemartin,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",https://github.com/donnemartin/data-science-ipython-notebooks,Python,2015-01-23T19:38:29Z,2024-10-15T15:37:56Z,27345,7868,39,Other
tuning_playbook,google-research,A playbook for systematically maximizing the performance of deep learning models.,https://github.com/google-research/tuning_playbook,,2023-01-18T23:32:32Z,2024-10-15T15:46:37Z,26806,2228,8,Other
fastai,fastai,The fastai deep learning library,https://github.com/fastai/fastai,Jupyter Notebook,2017-09-09T17:43:36Z,2024-10-15T15:32:19Z,26196,7551,228,Apache License 2.0
awesome-deep-learning-papers,terryum,The most cited deep learning papers,https://github.com/terryum/awesome-deep-learning-papers,TeX,2016-06-03T06:48:30Z,2024-10-15T12:35:59Z,25440,4479,35,No License
ML-From-Scratch,eriklindernoren,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,https://github.com/eriklindernoren/ML-From-Scratch,Python,2017-02-05T12:11:23Z,2024-10-15T12:10:40Z,23908,4585,51,MIT License
awesome-deep-learning,ChristosChristofidis,"A curated list of awesome Deep Learning tutorials, projects and communities.",https://github.com/ChristosChristofidis/awesome-deep-learning,,2015-01-02T19:28:35Z,2024-10-15T14:54:00Z,23905,6029,36,No License
d2l-en,d2l-ai,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.",https://github.com/d2l-ai/d2l-en,Python,2018-10-09T01:04:37Z,2024-10-15T15:15:52Z,23482,4303,140,Other
deep-learning-for-image-processing,WZMIAOMIAO,deep learning for image processing including classification and object-detection etc.,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,Python,2019-11-14T15:02:27Z,2024-10-15T16:09:42Z,22713,7952,90,GNU General Public License v3.0
Paddle,PaddlePaddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,https://github.com/PaddlePaddle/Paddle,C++,2016-08-15T06:59:08Z,2024-10-15T15:51:10Z,22151,5562,1711,Apache License 2.0
mxnet,apache,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",https://github.com/apache/mxnet,C++,2015-04-30T16:21:15Z,2024-10-15T06:44:17Z,20773,6794,2010,Apache License 2.0
audiocraft,facebookresearch,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable music generation LM with textual and melodic conditioning.",https://github.com/facebookresearch/audiocraft,Python,2023-06-08T06:41:36Z,2024-10-15T17:19:45Z,20766,2117,300,MIT License
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 AI Machine learning Deep learning Computer vision NLP Projects with code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,,2021-01-02T12:08:37Z,2024-10-15T15:51:35Z,20020,5113,41,No License
deep-learning-with-python-notebooks,fchollet,"Jupyter notebooks for the code samples of the book ""Deep Learning with Python""",https://github.com/fchollet/deep-learning-with-python-notebooks,Jupyter Notebook,2017-09-05T19:47:56Z,2024-10-15T13:44:27Z,18636,8636,177,MIT License
Dive-into-DL-PyTorch,ShusenTang,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,https://github.com/ShusenTang/Dive-into-DL-PyTorch,Jupyter Notebook,2019-02-21T03:45:20Z,2024-10-15T10:57:54Z,18264,5390,80,Apache License 2.0
DeOldify,jantic,A Deep Learning based project for colorizing and restoring old images (and video!),https://github.com/jantic/DeOldify,Python,2018-10-31T23:32:34Z,2024-10-15T16:04:37Z,17984,2564,10,MIT License
CNTK,microsoft,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",https://github.com/microsoft/CNTK,C++,2015-11-26T09:52:06Z,2024-10-14T16:25:52Z,17506,4282,840,Other
nndl.github.io,nndl,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,https://github.com/nndl/nndl.github.io,HTML,2016-09-06T08:09:06Z,2024-10-15T16:22:57Z,17402,3580,83,No License
ml-agents,Unity-Technologies,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,https://github.com/Unity-Technologies/ml-agents,C#,2017-09-08T21:09:04Z,2024-10-15T14:29:40Z,17042,4148,44,Other
deeplearning-models,rasbt,"A collection of various deep learning architectures, models, and tips",https://github.com/rasbt/deeplearning-models,Jupyter Notebook,2019-06-05T16:08:20Z,2024-10-15T15:06:44Z,16674,4000,5,MIT License
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05T03:44:27Z,2024-10-15T17:16:49Z,37250,5896,21,MIT License
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13T18:04:58Z,2024-10-15T16:48:22Z,36683,14199,1187,Apache License 2.0
vllm,vllm-project,A high-throughput and memory-efficient inference and serving engine for LLMs,https://github.com/vllm-project/vllm,Python,2023-02-09T11:23:20Z,2024-10-15T17:18:27Z,28429,4215,2173,Apache License 2.0
jina,jina-ai,☁️ Build multimodal AI applications with cloud-native stack,https://github.com/jina-ai/jina,Python,2020-02-13T17:04:44Z,2024-10-15T13:50:05Z,21052,2217,22,Apache License 2.0
qdrant,qdrant,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",https://github.com/qdrant/qdrant,Rust,2020-05-30T21:37:01Z,2024-10-15T16:28:35Z,20143,1365,308,Apache License 2.0
label-studio,HumanSignal,Label Studio is a multi-type data labeling and annotation tool with standardized output format,https://github.com/HumanSignal/label-studio,JavaScript,2019-06-19T02:00:44Z,2024-10-15T15:51:15Z,18845,2344,865,Apache License 2.0
awesome-production-machine-learning,EthicalML,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",https://github.com/EthicalML/awesome-production-machine-learning,,2018-08-15T14:28:41Z,2024-10-15T16:03:02Z,17445,2234,7,MIT License
argo-workflows,argoproj,Workflow Engine for Kubernetes,https://github.com/argoproj/argo-workflows,Go,2017-08-21T18:50:44Z,2024-10-15T16:29:31Z,14958,3192,1100,Apache License 2.0
nni,microsoft,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",https://github.com/microsoft/nni,Python,2018-06-01T05:51:44Z,2024-10-15T01:12:46Z,14011,1810,417,MIT License
taipy,Avaiga,Turns Data and AI algorithms into production-ready web applications in no time.,https://github.com/Avaiga/taipy,Python,2022-02-18T15:55:45Z,2024-10-15T17:13:58Z,13829,1626,165,Apache License 2.0
awesome-mlops,visenger,A curated list of references for MLOps ,https://github.com/visenger/awesome-mlops,,2020-03-03T11:37:19Z,2024-10-15T16:02:49Z,12556,1882,8,No License
ml-engineering,stas00,Machine Learning Engineering Open Book,https://github.com/stas00/ml-engineering,Python,2020-09-02T19:23:01Z,2024-10-15T12:27:14Z,11405,688,6,Creative Commons Attribution Share Alike 4.0 International
dagster,dagster-io,"An orchestration platform for the development, production, and observation of data assets.",https://github.com/dagster-io/dagster,Python,2018-04-30T16:30:04Z,2024-10-15T16:46:11Z,11367,1439,2640,Apache License 2.0
weaviate,weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",https://github.com/weaviate/weaviate,Go,2016-03-30T15:03:17Z,2024-10-15T14:23:49Z,11123,772,598,"BSD 3-Clause ""New"" or ""Revised"" License"
mlops-zoomcamp,DataTalksClub,Free MLOps course from DataTalks.Club,https://github.com/DataTalksClub/mlops-zoomcamp,Jupyter Notebook,2021-10-21T09:35:28Z,2024-10-15T16:25:48Z,11063,2130,5,No License
amazon-sagemaker-examples,aws,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ",https://github.com/aws/amazon-sagemaker-examples,Jupyter Notebook,2017-10-23T05:55:22Z,2024-10-15T14:43:15Z,10064,6759,817,Apache License 2.0
great_expectations,great-expectations,Always know what to expect from your data.,https://github.com/great-expectations/great_expectations,Python,2017-09-11T00:18:46Z,2024-10-15T16:25:09Z,9911,1534,46,Apache License 2.0
kedro,kedro-org,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",https://github.com/kedro-org/kedro,Python,2019-04-18T10:29:56Z,2024-10-15T15:51:10Z,9902,899,290,Apache License 2.0
OpenLLM,bentoml,"Run any open-source LLMs, such as Llama 3.1, Gemma, as OpenAI compatible API endpoint in the cloud.",https://github.com/bentoml/OpenLLM,Python,2023-04-19T00:27:52Z,2024-10-15T08:38:28Z,9879,628,22,Apache License 2.0
wandb,wandb,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",https://github.com/wandb/wandb,Python,2017-03-24T05:46:23Z,2024-10-15T13:53:02Z,9003,667,1015,MIT License
